base_pkg,adv_pkg,categories,typomind_cat
add,xdd,['Close Letters on QWERTY Keyboard'],NA
add,adc,['Close Letters on QWERTY Keyboard'],NA
add,acd,['Close Letters on QWERTY Keyboard'],NA
add,avd,['Close Letters on QWERTY Keyboard'],NA
add,asd,['Close Letters on QWERTY Keyboard'],NA
add,ydd,['Swap Vowel'],NA
add,adw,['Close Letters on QWERTY Keyboard'],NA
add,udd,['Swap Vowel'],NA
add,ad,"['Character Removed', 'Character Removed']",NA
add,afd,['Close Letters on QWERTY Keyboard'],NA
add,ads,['Close Letters on QWERTY Keyboard'],NA
add,asdd,['Double hit character'],NA
add,axd,['Close Letters on QWERTY Keyboard'],NA
add,adv,['Close Letters on QWERTY Keyboard'],NA
add,ard,['Close Letters on QWERTY Keyboard'],NA
add,aad,['Letter Duplicated and Replaced'],NA
add,bdd,['Bit Flips'],NA
add,addd,"['Letter Duplicated', 'Letter Duplicated', 'Letter Duplicated and Replaced']",NA
add,zdd,['Close Letters on QWERTY Keyboard'],NA
add,idd,['Swap Vowel'],NA
add,adr,['Close Letters on QWERTY Keyboard'],NA
add,aed,['Close Letters on QWERTY Keyboard'],NA
add,awd,['Close Letters on QWERTY Keyboard'],NA
add,adf,['Close Letters on QWERTY Keyboard'],NA
add,sdd,['Close Letters on QWERTY Keyboard'],NA
add,adx,['Close Letters on QWERTY Keyboard'],NA
add,ndd,['Bit Flips'],NA
add,fdd,['Bit Flips'],NA
add,wdd,['Close Letters on QWERTY Keyboard'],NA
add,ade,['Close Letters on QWERTY Keyboard'],NA
add,aqd,['Ascii Homoglpyh'],NA
add-asset-html-webpack-plugin,add-asset-html-webpack-plugin,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
add-dom-event-listener,add-dom-event-listener,['Letter Duplicated and Replaced'],NA
add-filename-increment,add-filename-increment,['Letter Duplicated and Replaced'],NA
add-line-numbers,add-line-numbers,['Letter Duplicated and Replaced'],NA
add-matchers,add-matchers,['Letter Duplicated and Replaced'],NA
add-px-to-style,add-px-to-style,['Letter Duplicated and Replaced'],NA
add-stream,add-stream,['Letter Duplicated and Replaced'],NA
add-stream,ydd-stream,['Swap Vowel'],NA
addons-linter,addons-linter,['Letter Duplicated and Replaced'],NA
addons-scanner-utils,addons-scanner-utils,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
address,address,['Letter Duplicated and Replaced'],NA
address,address2,['Suffix Added'],NA
addressparser,addressparser,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
admin-lte,admin-lte-ng,['Suffix Added'],NA
aedes,ades,['Character Removed'],NA
aedes,aedos,"['Ascii Homoglpyh', 'Swap Vowel']",NA
affine-hull,affine-hull,['Letter Duplicated and Replaced'],NA
afinn-165,afinn-165,['Letter Duplicated and Replaced'],NA
after,after,['Suffix Added'],NA
after,afer,['Character Removed'],NA
after-all-results,after-all-results,['Letter Duplicated and Replaced'],NA
ag-charts-community,ag-charts-community,['Letter Duplicated and Replaced'],NA
ag-grid-community,ag-grid-community,['Letter Duplicated and Replaced'],NA
agenda,agenda2,['Suffix Added'],NA
agenda,aganda,"['Ascii Homoglpyh', 'Swap Vowel']",NA
agentkeepalive,agentkeepalive,['Letter Duplicated and Replaced'],NA
aggregate-error,aggregate-error,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
agora-access-token,agora-access-token,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
ahooks,ahooks,['Letter Duplicated and Replaced'],NA
ahooks,yhooks,['Swap Vowel'],NA
ahooks,hooks,['Character Removed'],NA
ahooks,xhooks,['Close Letters on QWERTY Keyboard'],NA
ahooks,uhooks,['Swap Vowel'],NA
ahooks,ehooks,"['Ascii Homoglpyh', 'Swap Vowel']",NA
ahooks,ahooks1,['Suffix Added'],NA
ahoy.js,aho.js,['Character Removed'],NA
airbnb-prop-types,prop-ttypes,['After Separator'],NA
ajv,njv,['Bit Flips'],NA
ajv,bjv,['Bit Flips'],NA
ajv,av,['Character Removed'],NA
ajv,ajc,['Close Letters on QWERTY Keyboard'],NA
ajv,amv,['Close Letters on QWERTY Keyboard'],NA
ajv,aiv,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",NA
ajv,auv,['Close Letters on QWERTY Keyboard'],NA
ajv,anv,['Close Letters on QWERTY Keyboard'],NA
ajv,fjv,['Bit Flips'],NA
ajv,aav,['Letter Duplicated and Replaced'],NA
ajv,avj,['Letters Swapped'],NA
ajv,ajd,['Close Letters on QWERTY Keyboard'],NA
ajv,ajf,['Close Letters on QWERTY Keyboard'],NA
ajv,ajb,['Close Letters on QWERTY Keyboard'],NA
ajv,ayv,['Close Letters on QWERTY Keyboard'],NA
ajv,akv,['Close Letters on QWERTY Keyboard'],NA
ajv,ajg,['Close Letters on QWERTY Keyboard'],NA
ajv,sjv,['Close Letters on QWERTY Keyboard'],NA
ajv,ahv,['Close Letters on QWERTY Keyboard'],NA
ajv-errors,ajv-errors,['Letter Duplicated and Replaced'],NA
alce,alcu,['Swap Vowel'],NA
alce,alcw,['Close Letters on QWERTY Keyboard'],NA
alce,alec,['Letters Swapped'],NA
alce,ale,['Character Removed'],NA
alce,alde,['Close Letters on QWERTY Keyboard'],NA
alce,acle,['Letters Swapped'],NA
alce,ace,['Character Removed'],NA
ali-oss,aly-oss,['Swap Vowel'],NA
all-contributors-cli,all-contributors-cli,['Letter Duplicated and Replaced'],NA
all-node-versions,all-node-versions,['Letter Duplicated and Replaced'],NA
allure-commandline,allure-commandline,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
allure-js-commons,allure-js-commons,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
allure-playwright,allure-playwright,['Letter Duplicated and Replaced'],NA
ally.js,ally.js,['Letter Duplicated and Replaced'],NA
alt,nlt,['Bit Flips'],NA
alt,allt,['Letter Duplicated'],NA
alt,aot,['Close Letters on QWERTY Keyboard'],NA
alt,alh,['Close Letters on QWERTY Keyboard'],NA
alt,at,['Character Removed'],NA
alt,akt,['Close Letters on QWERTY Keyboard'],NA
alt,ult,['Swap Vowel'],NA
alt,flt,['Bit Flips'],NA
alt,wlt,['Close Letters on QWERTY Keyboard'],NA
alt,atl,['Letters Swapped'],NA
alt,blt,['Bit Flips'],NA
alt,aly,['Close Letters on QWERTY Keyboard'],NA
alt,aat,['Letter Duplicated and Replaced'],NA
alt,slt,['Close Letters on QWERTY Keyboard'],NA
alt,alg,['Close Letters on QWERTY Keyboard'],NA
alt,ylt,['Swap Vowel'],NA
alt,alr,['Close Letters on QWERTY Keyboard'],NA
alt,apt,['Close Letters on QWERTY Keyboard'],NA
alter,altyr,['Swap Vowel'],NA
alter,zalter,['Double hit character'],NA
alter,aler,['Character Removed'],NA
alter,atler,['Letters Swapped'],NA
alter,alterx,['Suffix Added'],NA
amazon-cognito-identity-js,amazon-cognito-identify-js,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",NA
amazon-quicksight-embedding-sdk,amazon-quicksight-embedding-sdk,['Letter Duplicated and Replaced'],NA
ambi,abi,['Character Removed'],NA
ambi,ombi,"['Ascii Homoglpyh', 'Swap Vowel']",NA
ambi,ami,['Character Removed'],NA
amd-loader,imd-loader,['Swap Vowel'],NA
ammo,mmo,['Character Removed'],NA
ammo,amm,['Character Removed'],NA
ammo,amo,"['Character Removed', 'Character Removed']",NA
ammo,ammio,['Double hit character'],NA
ammo,ammo,['Letter Duplicated and Replaced'],NA
amp,aml,['Close Letters on QWERTY Keyboard'],NA
amp,smp,['Close Letters on QWERTY Keyboard'],NA
amp,amo,['Close Letters on QWERTY Keyboard'],NA
amp,ajp,['Close Letters on QWERTY Keyboard'],NA
amp,apm,['Letters Swapped'],NA
amp,nmp,['Bit Flips'],NA
amp,wamp,['Double hit character'],NA
amp,xmp,['Close Letters on QWERTY Keyboard'],NA
amp,bmp,['Bit Flips'],NA
amp,aap,['Letter Duplicated and Replaced'],NA
amp,ap,['Character Removed'],NA
amp,akp,['Close Letters on QWERTY Keyboard'],NA
amp,anp,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",NA
amp,imp,['Swap Vowel'],NA
amp,fmp,['Bit Flips'],NA
amp,ahp,['Close Letters on QWERTY Keyboard'],NA
amp,ump,['Swap Vowel'],NA
amp-message,amp-message,['Letter Duplicated and Replaced'],NA
ampersand-class-extend,ampersand-class-extend,['Letter Duplicated and Replaced'],NA
amplify-appsync-simulator,amplify-appsync-simulator,['Letter Duplicated and Replaced'],NA
amplify-cli-logger,amplify-cli-logger,['Letter Duplicated and Replaced'],NA
amplify-codegen-appsync-model-plugin,amplify-codegen-appsync-model-plugin,['Letter Duplicated and Replaced'],NA
amplify-frontend-flutter,amplify-frontend-flutter,['Letter Duplicated and Replaced'],NA
amplify-headless-interface,amplify-headless-interface,['Letter Duplicated and Replaced'],NA
amplify-util-headless-input,amplify-util-headless-input,['Letter Duplicated and Replaced'],NA
amqp,amq,['Character Removed'],NA
amqp,aqp,['Character Removed'],NA
amqp,amp,['Character Removed'],NA
amqp-connection-manager,amqp-connection-manager,['Letter Duplicated and Replaced'],NA
analytics,analyticss,"['Letter Duplicated', 'Letter Duplicated and Replaced', 'Suffix Added']",NA
analytics,analyticas,['Double hit character'],NA
anchor,anchors,['Suffix Added'],NA
anchor,wanchor,['Double hit character'],NA
anchorme,anchorm,['Character Removed'],NA
angular,angular7,['Suffix Added'],NA
angular,angular1,['Suffix Added'],NA
angular,angular9,['Suffix Added'],NA
angular-cookies,angular-cookies,['Letter Duplicated and Replaced'],NA
angular-credit-cards,angular-credit-card,['Character Removed'],NA
angular-draggable-droppable,angular-draggable-droppable,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
angular-estree-parser,angular-estree-parser,['Letter Duplicated and Replaced'],NA
angular-file-upload,angular-fileupload,['Character Removed'],NA
angular-gettext-tools,angular-gettext-tools,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
angular-google-charts,angular-google-charts,['Letter Duplicated and Replaced'],NA
angular-google-tag-manager,angular-google-tag-manager,['Letter Duplicated and Replaced'],NA
angular-http-server,angular-http-server,['Letter Duplicated and Replaced'],NA
angular-in-memory-web-api,angular-in-memory-web-api2,['Suffix Added'],NA
angular-messages,angular-messages,['Letter Duplicated and Replaced'],NA
angular-mocks,angular-mock,['Character Removed'],NA
angular-svg-round-progressbar,angular-svg-round-progressbar,['Letter Duplicated and Replaced'],NA
angular-toastr,angular-toaster,['Double hit character'],NA
angular-tree-component,angular-tree-component,['Letter Duplicated and Replaced'],NA
angular-ui-bootstrap,angular-ui--bootstrap,['Letter Duplicated'],NA
angular-ui-bootstrap,angular-ui-bootstrap,['Letter Duplicated and Replaced'],NA
angular2-draggable,angular2-draggable,['Letter Duplicated and Replaced'],NA
angular2-hotkeys,angular-hotkeys,['Character Removed'],NA
angular2-moment,angular-moment,['Character Removed'],NA
angular2-text-mask,angular1-text-mask,['Close Letters on QWERTY Keyboard'],NA
angular2-toaster,angular-toaster,['Character Removed'],NA
angular2-uuid,angular2-uuid,['Letter Duplicated and Replaced'],NA
angulartics,angulartics2,['Suffix Added'],NA
angulartics-google-analytics,angulartics-google-analytics,['Letter Duplicated and Replaced'],NA
angulartics2,angulartics,['Character Removed'],NA
animated-scroll-to,animated-scroll-to,['Letter Duplicated and Replaced'],NA
anser,nnser,['Bit Flips'],NA
ansi,ans,['Character Removed'],NA
ansi,andi,['Close Letters on QWERTY Keyboard'],NA
ansi,nsi,['Character Removed'],NA
ansi,asi,['Character Removed'],NA
ansi,ani,['Character Removed'],NA
ansi,anqi,['Close Letters on QWERTY Keyboard'],NA
ansi,ansis,['Suffix Added'],NA
ansi-bggreen,ansi-bggreen,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
ansi-bgyellow,ansi-bgyellow,['Letter Duplicated and Replaced'],NA
ansi-color,ansi-colors,['Suffix Added'],NA
ansi-color,ansicolor,"['Character Removed', 'Separator Removed']",NA
ansi-colors,ansicolors,"['Character Removed', 'Separator Removed']",NA
ansi-colors,ansi-color,['Character Removed'],NA
ansi-gray,ansi-grey,"['Ascii Homoglpyh', 'Swap Vowel']",NA
ansi-green,ansi-green,['Letter Duplicated and Replaced'],NA
ansi-grey,ansi-gray,"['Ascii Homoglpyh', 'Swap Vowel']",NA
ansi-hidden,ansi-hidden,['Letter Duplicated and Replaced'],NA
ansi-html-community,ansi-html-community,['Letter Duplicated and Replaced'],NA
ansi-styles,ansistyles,"['Character Removed', 'Separator Removed']",NA
ansi-yellow,ansi-yellow,['Letter Duplicated and Replaced'],NA
ansicolor,ansicolors,['Suffix Added'],NA
ansicolors,ansicolor,['Character Removed'],NA
ant-design-palettes,ant-design-palettes,['Letter Duplicated and Replaced'],NA
antd,entd,"['Ascii Homoglpyh', 'Swap Vowel']",NA
antd,antq,['Ascii Homoglpyh'],NA
antd,and,['Character Removed'],NA
antd,antds,['Suffix Added'],NA
antd,sntd,['Close Letters on QWERTY Keyboard'],NA
antd,antw,['Close Letters on QWERTY Keyboard'],NA
antd,artd,['Ascii Homoglpyh'],NA
antd,untd,['Swap Vowel'],NA
antd,antb,['Ascii Homoglpyh'],NA
antd,atd,['Character Removed'],NA
antd,ant,['Character Removed'],NA
antd,antdd,"['Letter Duplicated', 'Letter Duplicated and Replaced']",NA
antd,ntd,['Character Removed'],NA
antlr4,antlr4ts,['Suffix Added'],NA
any-shell-escape,any-shell-escape,['Letter Duplicated and Replaced'],NA
aos,aod,['Close Letters on QWERTY Keyboard'],NA
aos,aoa,['Close Letters on QWERTY Keyboard'],NA
aos,sos,['Close Letters on QWERTY Keyboard'],NA
aos,as,['Character Removed'],NA
aos,ios,['Swap Vowel'],NA
aos,aks,['Close Letters on QWERTY Keyboard'],NA
aos,yos,['Swap Vowel'],NA
aos,aoe,['Close Letters on QWERTY Keyboard'],NA
aos,aios,['Double hit character'],NA
aos,bos,['Bit Flips'],NA
aos,aso,['Letters Swapped'],NA
aos,aoq,['Close Letters on QWERTY Keyboard'],NA
aos,aps,['Close Letters on QWERTY Keyboard'],NA
aos,aoc,['Close Letters on QWERTY Keyboard'],NA
aos,als,['Close Letters on QWERTY Keyboard'],NA
aos,aox,['Close Letters on QWERTY Keyboard'],NA
aos,ays,['Swap Vowel'],NA
aos,xos,['Close Letters on QWERTY Keyboard'],NA
aos,aoz,['Close Letters on QWERTY Keyboard'],NA
aos,fos,['Bit Flips'],NA
aos,akos,['Double hit character'],NA
aos,wos,['Close Letters on QWERTY Keyboard'],NA
aos,aus,['Swap Vowel'],NA
aos,uos,['Swap Vowel'],NA
aos,os,['Character Removed'],NA
aos,zos,['Close Letters on QWERTY Keyboard'],NA
aos,a8s,['Close Letters on QWERTY Keyboard'],NA
aos,aow,['Close Letters on QWERTY Keyboard'],NA
aos,ais,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",NA
aos,nos,['Bit Flips'],NA
aos,saos,['Double hit character'],NA
ap,qap,['Double hit character'],NA
ap,aap,['Letter Duplicated'],NA
ap,a0,['Close Letters on QWERTY Keyboard'],NA
ap,a-,['Close Letters on QWERTY Keyboard'],NA
ap,ao,['Close Letters on QWERTY Keyboard'],NA
ap,np,['Bit Flips'],NA
ap,fp,['Bit Flips'],NA
ap,zap,['Double hit character'],NA
ap,aop,['Double hit character'],NA
ap,xp,['Close Letters on QWERTY Keyboard'],NA
ap,sap,['Double hit character'],NA
ap,apx,['Suffix Added'],NA
ap,xap,"['Double hit character', 'Prefix Added', 'Prefix Added']",NA
ap,wp,['Close Letters on QWERTY Keyboard'],NA
ap,app,"['Letter Duplicated', 'Letter Duplicated and Replaced']",NA
ap,alp,['Double hit character'],NA
ap,a9,['Close Letters on QWERTY Keyboard'],NA
ap,yp,['Swap Vowel'],NA
ap,sp,['Close Letters on QWERTY Keyboard'],NA
ap,ap.js,['Suffix Added'],NA
ap,zp,['Close Letters on QWERTY Keyboard'],NA
ap,wap,['Double hit character'],NA
ap,ip,['Swap Vowel'],NA
ap,up,['Swap Vowel'],NA
ap,al,['Close Letters on QWERTY Keyboard'],NA
ap,bp,['Bit Flips'],NA
ap,ap3,['Suffix Added'],NA
ap,ap1,['Suffix Added'],NA
apache-arrow,apache-arrow,['Letter Duplicated and Replaced'],NA
apidoc,pidoc,['Character Removed'],NA
apn,aqn,['Ascii Homoglpyh'],NA
apn,spn,['Close Letters on QWERTY Keyboard'],NA
apn,npn,['Bit Flips'],NA
apn,an,['Character Removed'],NA
apn,aon,['Close Letters on QWERTY Keyboard'],NA
apn,ap,['Character Removed'],NA
apn,opn,"['Ascii Homoglpyh', 'Swap Vowel']",NA
apn,apj,['Close Letters on QWERTY Keyboard'],NA
apn,aan,['Letter Duplicated and Replaced'],NA
apn,aph,['Close Letters on QWERTY Keyboard'],NA
apn,pn,['Character Removed'],NA
apn,upn,['Swap Vowel'],NA
apn,ipn,['Swap Vowel'],NA
apn,xpn,['Close Letters on QWERTY Keyboard'],NA
apn,fpn,['Bit Flips'],NA
apn,anp,['Letters Swapped'],NA
apn,apb,['Close Letters on QWERTY Keyboard'],NA
apn,epn,"['Ascii Homoglpyh', 'Swap Vowel']",NA
apn,bpn,['Bit Flips'],NA
apn,apg,['Close Letters on QWERTY Keyboard'],NA
apn,aln,['Close Letters on QWERTY Keyboard'],NA
apollo,aollo,['Character Removed'],NA
apollo,apollo2,['Suffix Added'],NA
apollo,apollo,['Letter Duplicated and Replaced'],NA
apollo,apolo,"['Character Removed', 'Character Removed']",NA
apollo-angular,apollo-angular,['Letter Duplicated and Replaced'],NA
apollo-angular,apollo-angular2,['Suffix Added'],NA
apollo-angular-link-http,apollo-angular-link-http,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-angular-link-http-common,apollo-angular-link-http-common,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-boost,apollo-boost,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-boost-upload,apollo-boost-upload,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-cache,apollo-cache,['Letter Duplicated and Replaced'],NA
apollo-cache-control,apollo-cache-control,['Letter Duplicated and Replaced'],NA
apollo-cache-inmemory,apollo-cache-inmemory,['Letter Duplicated and Replaced'],NA
apollo-cache-persist,apollo-cache-persist,['Letter Duplicated and Replaced'],NA
apollo-client,apollo-client,['Letter Duplicated and Replaced'],NA
apollo-client-preset,apollo-client-preset,['Letter Duplicated and Replaced'],NA
apollo-codegen,apollo-codegen,['Letter Duplicated and Replaced'],NA
apollo-codegen-core,apollo-codegen-core,['Letter Duplicated and Replaced'],NA
apollo-codegen-flow,apollo-codegen-flow,['Letter Duplicated and Replaced'],NA
apollo-codegen-flow-legacy,apollo-codegen-flow-legacy,['Letter Duplicated and Replaced'],NA
apollo-codegen-scala,apollo-codegen-scala,['Letter Duplicated and Replaced'],NA
apollo-codegen-swift,apollo-codegen-swift,['Letter Duplicated and Replaced'],NA
apollo-codegen-typescript,apollo-codegen-typescript,['Letter Duplicated and Replaced'],NA
apollo-codegen-typescript-legacy,apollo-codegen-typescript-legacy,['Letter Duplicated and Replaced'],NA
apollo-datasource,apollo-datasource,['Letter Duplicated and Replaced'],NA
apollo-datasource-rest,apollo-datasource-rest,['Letter Duplicated and Replaced'],NA
apollo-engine-reporting,apollo-engine-reporting,['Letter Duplicated and Replaced'],NA
apollo-engine-reporting-protobuf,apollo-engine-reporting-protobuf,['Letter Duplicated and Replaced'],NA
apollo-env,apollo-env,['Letter Duplicated and Replaced'],NA
apollo-errors,apollo-errors,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-graphql,apollo-graphql,['Letter Duplicated and Replaced'],NA
apollo-language-server,apollo-language-server,['Letter Duplicated and Replaced'],NA
apollo-link,apollo-link,['Letter Duplicated and Replaced'],NA
apollo-link-batch,apollo-link-batch,['Letter Duplicated and Replaced'],NA
apollo-link-batch,apollo-link-patch,['Ascii Homoglpyh'],NA
apollo-link-batch-http,apollo-link-batch-http,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-link-context,apollo-link-context,['Letter Duplicated and Replaced'],NA
apollo-link-core,apollo-link-core,['Letter Duplicated and Replaced'],NA
apollo-link-dedup,apollo-link-dedup,['Letter Duplicated and Replaced'],NA
apollo-link-error,apollo-link-error,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-link-http,apollo-link-http,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-link-http-common,apollo-link-http-common,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-link-logger,apollo-link-logger,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
apollo-link-mock,apollo-link-mock,['Letter Duplicated and Replaced'],NA
apollo-link-persisted-queries,apollo-link-persisted-queries,['Letter Duplicated and Replaced'],NA
apollo-link-rest,apollo-link-rest,['Letter Duplicated and Replaced'],NA
apollo-link-retry,apollo-link-retry,['Letter Duplicated and Replaced'],NA
apollo-link-schema,apollo-link-schema,['Letter Duplicated and Replaced'],NA
apollo-link-sentry,apollo-link-sentry,['Letter Duplicated and Replaced'],NA
apollo-link-state,apollo-link-state,['Letter Duplicated and Replaced'],NA
apollo-link-timeout,apollo-link-timeout,['Letter Duplicated and Replaced'],NA
apollo-link-ws,apollo-link-ws,['Letter Duplicated and Replaced'],NA
